id,timestamp1,source,actiontag,event_id,event_type,event_category,event_author,eventcreated,change_id,change_source,changetimestamp,change_targetasrobject_id,change_targetasrobject_origin,change_targetasrobject_destination,change_targetasrobject_flightnumber,change_targetasrobject_carrier,scheduledstart,scheduledend,change_attributes_last_aircraft_assigned,eobt,eibt,change_attributes_last_delay_applied,change_attributes_last_delay_on_arrival_applied
PLAN-QLK_ALL_190506T20:54__vOdC8Z4,05:10.0,gui:161383:actiontag:Delay End Maintenance~!~VHSCE~!~-39 Mins.~!~Local__zsGZaB8,Delay End Maintenance~,PLAN-QLK_ALL_190506T20:54,ALL,PLAN-QLK,161383,54:26.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25__zGl8iFE,gui:161383:actiontag:Delay End Maintenance~!~VHSCE~!~-39 Mins.~!~Local__zsGZaB8,05:04.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25,,,,QF,05:00.0,25:00.0,,,,,
PLAN-QLK_ALL_190506T20:54__4YdHMao,05:10.0,gui:161383:actiontag:Move Maintenance~!~VHSCE~!~19 Mins.~!~Local__Qu9y3yk,Move Maintenance~,PLAN-QLK_ALL_190506T20:54,ALL,PLAN-QLK,161383,54:26.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25__dWeGwQk,gui:161383:actiontag:Move Maintenance~!~VHSCE~!~19 Mins.~!~Local__Qu9y3yk,05:07.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25,,,,QF,05:00.0,25:00.0,,,,,
PLAN-QLK_ALL_190506T20:54__8Bejn3s,10:01.0,gui:161383:actiontag:Delay End Maintenance~!~VHSCE~!~-27 Mins.~!~Local__vl7ewss,Delay End Maintenance~,PLAN-QLK_ALL_190506T20:54,ALL,PLAN-QLK,161383,54:26.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25__ZCGG2Pg,gui:161383:actiontag:Delay End Maintenance~!~VHSCE~!~-27 Mins.~!~Local__vl7ewss,09:56.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25,,,,QF,05:00.0,25:00.0,,,,,
PLAN-QLK_ALL_190506T20:54__nEniOMA,10:01.0,gui:161383:actiontag:Move Maintenance~!~VHSCE~!~10 Mins.~!~Local__rCJ6AbI,Move Maintenance~,PLAN-QLK_ALL_190506T20:54,ALL,PLAN-QLK,161383,54:26.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25__F87zeGk,gui:161383:actiontag:Move Maintenance~!~VHSCE~!~10 Mins.~!~Local__rCJ6AbI,09:58.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25,,,,QF,05:00.0,25:00.0,,,,,
PLAN-QLK_ALL_190506T20:54__CH2bmb0,08:06.0,gui:161383:actiontag:Delay End Maintenance~!~VHSCE~!~-44 Mins.~!~Local__SzMK1gw,Delay End Maintenance~,PLAN-QLK_ALL_190506T20:54,ALL,PLAN-QLK,161383,54:26.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25__RzJ1ka8,gui:161383:actiontag:Delay End Maintenance~!~VHSCE~!~-44 Mins.~!~Local__SzMK1gw,07:57.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25,,,,QF,05:00.0,25:00.0,,,,,
PLAN-QLK_ALL_190506T20:54__5FwWoOE,08:06.0,gui:161383:actiontag:Update Maintenance~!~VHSCE~!~ - ~!~Local__KZjnS8E,Update Maintenance~,PLAN-QLK_ALL_190506T20:54,ALL,PLAN-QLK,161383,54:26.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25__fhMAFm0,gui:161383:actiontag:Update Maintenance~!~VHSCE~!~ - ~!~Local__KZjnS8E,08:04.0,wmiQZPM_ADL_QF_190507T02:05_190507T07:25,,,,QF,05:00.0,25:00.0,,,,,
PLAN_MAINT-INT_190430T20:45__aiIElRk,34:43.0,gui:938283:actiontag:Create Maintenance~!~VHEBJ~!~VHEBJ~!~Local__GJ9hhVw,Create Maintenance~,PLAN_MAINT-INT_190430T20:45,MAINT-INT,PLAN,938283,45:12.0,wmvOLzo_PER_QF_190502T17:50_190503T00:10__hKjwFjM,gui:938283:actiontag:Create Maintenance~!~VHEBJ~!~VHEBJ~!~Local__GJ9hhVw,34:40.0,wmvOLzo_PER_QF_190502T17:50_190503T00:10,,,,QF,50:00.0,10:00.0,,,,,
PLAN_MAINT-INT_190430T20:45__Ft_MWII,34:43.0,gui:938283:actiontag:Move Maintenance~!~VHEBJ~!~-52 Mins.~!~Local__AmYc440,Move Maintenance~,PLAN_MAINT-INT_190430T20:45,MAINT-INT,PLAN,938283,45:12.0,wmvOLzo_PER_QF_190502T17:50_190503T00:10__gF6TqG4,gui:938283:actiontag:Move Maintenance~!~VHEBJ~!~-52 Mins.~!~Local__AmYc440,34:41.0,wmvOLzo_PER_QF_190502T17:50_190503T00:10,,,,QF,50:00.0,10:00.0,,,,,
PLAN_MAINT-INT_190502T01:46__YbcrCxs,58:17.0,gui:298546:actiontag:Cancel Maintenance~!~VHEBJ~!~ - ~!~Local__AXZatq8,Cancel Maintenance~,PLAN_MAINT-INT_190502T01:46,MAINT-INT,PLAN,298546,46:11.0,wmvOLzo_PER_QF_190502T17:50_190503T00:10__58oNR44,gui:298546:actiontag:Cancel Maintenance~!~VHEBJ~!~ - ~!~Local__AXZatq8,58:13.0,wmvOLzo_PER_QF_190502T17:50_190503T00:10,,,,QF,50:00.0,10:00.0,,,,,
PLAN_MAINT-INT_190509T21:12__aooQLjk,19:08.0,gui:146493:actiontag:Create Maintenance~!~VHTQD~!~VHTQD~!~Local__9wVBVeM,Create Maintenance~,PLAN_MAINT-INT_190509T21:12,MAINT-INT,PLAN,799623,12:04.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35__rm5UjGI,gui:146493:actiontag:Create Maintenance~!~VHTQD~!~VHTQD~!~Local__9wVBVeM,19:05.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35,,,,QF,05:00.0,35:00.0,,,,,
