rego,fleet,fleet_subtype
N990NN,737,738
VHOQK,380,388
VHZNA,787,789
B6071,330,332
BKQR,777,77W
BLRQ,350,359
N124AA,321,321
N686AE,ERJ,ER4
N744SK,CR7,CR7
N992NN,737,738
VHVFL,320,320
A6EBR,777,77W
A6EOE,380,388
N948NN,737,738
VHXZE,737,73H
A6EEY,380,388
A6EGF,777,77W
A6ENE,777,77W
C306,737,7M8
CGHQQ,787,788
N281AY,330,332
N537UW,321,321
N863AS,CRJ,CRJ
CCCXI,767,763
N183UW,321,321
N343PN,737,738
ZKOJA,32S,320
B2089,777,773
B8226,330,332
N623AE,ERJ,ER4
N701SK,CR7,CR7
N942UW,757,752
ZKNHA,32S,32N
CCBAY,32S,320
CCBJD,32S,320
N136AN,321,321
N268NN,EMJ,E75
N277AY,330,333
N708SK,CR7,CR7
N777AN,787,788
N790AN,777,772
N991NN,737,738
VHZNB,787,789
N523AE,CR7,CR7
N576UW,321,321
N822AN,787,789
N823AN,787,789
P2NAX,DH8,DH8
ZSSXY,330,332
A6EGE,777,77W
A6EOZ,380,388
C408,DH8,DH4
N559UW,321,321
N652BR,CRJ,CRJ
N862AN,787,789
N862AS,CRJ,CRJ
P2AND,100,100
VHVZV,737,73H
AC833,787,788
BLRT,350,359
JA708J,777,77W
N142AN,321,321
N9015D,319,319
N923NN,737,738
VHPQA,75F,75F
ZKOKT,777,773
CFPQB,787,788
N116AN,32S,32B
N677AE,ERJ,ER4
N877AS,CRJ,CRJ
N903NN,737,738
N923US,321,321
N929NN,737,738
A6ECN,777,77W
C441,DH8,DH4
N193UW,321,321
N904NN,737,738
P2ANV,100,100
A6ECO,777,77W
B18316,330,333
B18916,350,359
BLBA,330,333
JA867J,787,789
N836AW,319,319
N950AN,737,738
VHXZI,737,73H
A6EGW,777,77W
BLNQ,330,333
C001,737,73W
C608,737,736
N260NN,EMJ,E75
N525AE,CR7,CR7
N693BR,CRJ,CRJ
VH029,787,788
B18360,330,333
B6505,330,332
B7869,777,773
N647AE,ERJ,ER4
N673AW,32S,320
N908AA,321,321
N9616G,M80,M80
N997NN,737,738
VHQPC,330,333
AC835,787,788
HL7596,777,772
N188US,321,321
N417YX,EMJ,E75
N442YX,EMJ,E75
N720EV,CR7,CR7
N998NN,737,738
CCCZU,767,763
DQFJU,330,332
N621AE,ERJ,ER4
N644AE,ERJ,ER4
N732AN,777,77W
N979AN,737,738
VHVGA,320,320
A6EBW,777,77W
N758SK,CR7,CR7
N758US,319,319
N846HK,ERJ,ER4
N901AN,737,738
N983TW,M80,M80
VH352,DH8,DH3
VHXZN,737,73H
A6EUV,380,388
AC838,787,788
B1430,777,773
N259NN,EMJ,E75
N970AN,737,738
CFGDT,787,788
N605KS,ERJ,ER4
N728SK,CR7,CR7
N953NN,737,738
A6EDN,380,388
N510UW,321,321
N903EV,CRJ,CRJ
N908EV,CRJ,CRJ
VHVZU,737,73H
B1041,330,332
N179UW,321,321
N190AA,757,757
N272NN,EMJ,E75
N409MC,74F,74Y
VHTQS,DH8,DH8
B300Q,330,332
B7973,777,773
CCCXE,767,763
DQFAB,737,7M8
FOSEA,340,343
N173US,321,321
N184US,321,321
N534UW,321,321
VHANZ,EM2,EM2
VHNHG,100,100
C421,DH8,DH4
CFGHZ,787,788
N103NN,32S,32B
N192UW,321,321
N389HA,330,332
N513AE,CR7,CR7
N730EV,CR7,CR7
N741UW,319,319
A6ECM,777,77W
B6541,330,332
BKPN,777,77W
C009,737,73W
N113AN,32S,32B
N291AY,330,332
N642AE,ERJ,ER4
N839NN,737,738
N976NN,737,738
VHQOM,DH8,DH4
VHUQW,100,100
VHVQR,320,320
A6ECG,777,77W
A6EDK,380,388
C406,DH8,DH4
N133HQ,EMJ,E75
N917UY,321,321
N956AN,737,738
N971AN,737,738
P2PXE,100,100
A6ECQ,777,77W
A6EEC,380,388
A6EUJ,380,388
N506AE,CR7,CR7
N679AW,321,321
N812AW,319,319
N869AS,CRJ,CRJ
VHTQH,DH8,DH3
B6978,330,333
BLNO,330,333
C843,737,73H
FOSSB,320,320
HL7700,777,772
N266NN,EMJ,E75
N819AE,ERD,ERD
N993AN,321,321
ZSSND,340,346
B6526,330,333
C006,737,73W
N317PG,737,738
N501BG,CR7,CR7
N722US,319,319
N904AN,737,738
N988AL,321,321
VHVXC,737,73H
AC843,787,788
B5973,330,332
CFNOH,787,788
N187US,321,321
N304RB,737,7M8
N748SK,CR7,CR7
N8009T,319,319
N824A9,787,789
ZKOJN,32S,320
A6EDM,380,388
A6EQB,777,77W
B5949,330,332
B6092,330,332
B6542,330,330
BLJC,747,744
C242,737,73W
N128HQ,EMJ,E75
N417SW,CRJ,CRJ
N750SK,CR7,CR7
N811AB,787,788
N949AN,737,738
C606,737,736
JA841J,787,788
N119NN,321,321
N909NN,737,738
VHNHY,100,100
VKE,788,788
JA869J,787,789
N604QX,CR7,CR7
N801AE,ERD,ERD
N824AN,787,789
N835HK,ERJ,ER4
N929AN,737,738
N995AN,321,321
VH566,321,321
A6EOI,380,388
B6536,330,332
BKQC,777,77W
C225,737,73H
C849,737,73H
CFNOI,787,788
N287AY,330,332
N536EA,CR7,CR7
N746SK,CR7,CR7
N817AE,ERD,ERD
N825AW,319,319
VH13JJ,320,320
A6EDZ,380,388
B18901,350,359
BKPV,777,77W
CCBGJ,787,789
N177AN,757,757
N508AE,CR7,CR7
N798AN,777,772
DQFJT,330,332
N906AA,321,321
C436,DH8,DH4
N243NN,EMJ,E75
N827AA,787,789
VHXZJ,737,73H
B8967,330,333
BLRE,350,359
N428YX,EMJ,E75
N897NN,737,738
N954NN,737,738
CCBAQ,32S,320
N135NN,321,321
B6139,380,380
B6547,330,330
B7386,777,773
C011,737,73W
C229,737,73W
C407,DH8,DH4
CCBHA,32S,320
CGHPQ,787,788
VATM0NA862,787,788
ZKOKO,777,772
A6EOF,380,388
A6EQD,777,77W
A6EUM,380,388
B18315,330,333
BKQK,777,77W
C837,737,73H
N151AN,321,321
N301PA,737,738
N984NN,737,738
RPC8764,330,332
VHLQL,DH8,DH4
A6EWE,777,77L
B8577,330,333
C847,737,73H
CCBHC,32S,320
CFIVK,777,77L
N346AN,737,738
N504AE,CR7,CR7
N671AE,ERJ,ER4
N711UW,319,319
N828AA,787,789
N968TW,M80,M80
N973AN,737,738
RPC8620,320,320
56939,330,330
B1062,330,333
C429,DH8,DH4
CFNOG,787,788
N359PX,737,738
N410YX,EMJ,E75
A6EUL,380,388
C807,737,73H
N706SK,CR7,CR7
N879NN,737,738
N9008U,319,319
VH385,DH8,DH3
VHEBP,330,332
7369,777,773
A6EEU,380,388
BLNB,330,333
BLRK,350,359
CFRTW,787,789
N37OHA,330,332
N521UW,321,321
N745VJ,319,319
N827AE,ERD,ERD
N952NN,737,738
VHFKZ,F50,F50
VHNJF,146,14Z
A6EUW,380,388
B6135,330,330
DQ,737,73H
N156AN,321,321
N306RC,737,7M8
N966AN,737,738
VHVZO,737,73H
123AA,777,777
C007,737,73W
N115HQ,EMJ,E75
N716SK,CR7,CR7
N751SK,CR7,CR7
N841NN,737,738
N861NN,737,738
VH05JJ,320,320
VHVXB,737,73H
755EV,CR7,CR7
B18005,777,77W
N611AE,ERJ,ER4
N730SK,CR7,CR7
N748EV,CR7,CR7
N803AE,ERD,ERD
N869NN,737,738
RPC9901,320,320
VHFKX,F50,F50
ZKZQD,737,73H
A6EUC,380,388
C443,DH8,DH4
C806,737,73H
N285AY,330,332
N805AE,ERD,ERD
N854AE,ERD,ERD
N960NN,737,738
A6EOP,380,388
AC839,787,788
CCBEH,321,321
N195UW,321,321
N197AN,757,757
N202UW,321,321
N380AN,767,763
N394AN,330,332
N398AN,767,763
N650AW,32S,320
N652AW,32S,320
N662AW,32S,320
N838AA,787,789
N980UY,321,321
N987AN,737,738
VHNXE,717,717
A6EOW,380,388
AC706,777,77L
BKQT,777,77W
N120EE,321,321
N539UW,321,321
N724SK,CR7,CR7
N833AE,ERD,ERD
N833NN,737,738
RPC9936,330,332
VKL,788,788
A6EQG,777,77W
C802,737,73H
CFNNH,777,77L
N827AW,319,319
N957NN,737,738
ZSSNB,340,346
A6EGQ,777,77W
N875NN,737,738
N892NN,737,738
N934NN,737,738
VHOQE,380,388
79,330,332
B8366,330,333
BLRB,350,359
CCBFV,32S,320
N222NS,EMJ,E75
N309PC,737,738
N716UW,319,319
N758EV,CR7,CR7
N996NN,737,738
C812,737,73H
N337PJ,737,738
N626AE,ERJ,ER4
N808AN,787,788
N829AN,787,789
ZKNZJ,787,789
B2039,777,773
B6079,330,332
N105UW,32S,320
N244NN,EMJ,E75
N668HH,ERJ,ER4
N990AN,737,738
VHNHF,100,100
GSTBL,777,777
N110HQ,EMJ,E75
N176UW,321,321
N385AM,330,332
N791AN,777,772
N803AW,319,319
N834AE,ERD,ERD
N842HK,ERJ,ER4
A6EBZ,777,77W
A6EMX,777,77W
B18312,330,333
N137AA,321,321
N174US,321,321
N551UW,321,321
N665BC,ERJ,ER4
N690AE,ERJ,ER4
N709BR,CRJ,CRJ
P8620,320,320
ZKNHC,32S,32N
A6EMR,777,77W
A6ENC,777,77W
B5962,330,332
B6132,330,333
B6528,330,330
C256,737,73W
CCBED,321,321
GSTDB,777,777
N191AN,757,757
N719AN,777,77W
N720AN,787,789
N991AN,737,738
VHQOA,DH8,DH4
A6EUK,380,388
A6EVC,380,388
BKQE,777,77W
C005,737,73W
C432,DH8,DH4
CCBFO,32S,320
N150UW,321,321
N572FE,330,332
N709UW,319,319
VHEBN,330,332
VHUQC,100,100
A6EBJ,777,77W
B18902,350,359
C245,737,73H
CCBFE,32S,320
DQFJP,330,330
N435SW,CRJ,CRJ
N614AE,ERJ,ER4
N831HA,330,332
N839AN,787,789
HL7634,380,388
JA844J,787,788
N402AN,321,321
N535UW,321,321
N915NN,737,738
VHXZP,737,73H
C410,DH8,DH4
CCBGI,787,789
N152AA,321,321
N538UW,321,321
N702SK,CR7,CR7
N752AN,777,772
N926UW,321,321
N951AA,737,738
N958AN,737,738
VHQOC,DH8,DH4
VHQOS,DH8,DH4
B8386,330,333
N144AN,321,321
P2ANY,F70,F70
VHVXQ,737,73H
ZKZQG,737,73H
A6EEW,380,388
B18003,777,77W
BKQN,777,77W
BLRF,350,359
C850,737,73H
GSTBB,777,777
N162UW,321,321
N199AN,757,757
N560UW,321,321
N757UW,319,319
N760US,319,319
N959UW,E90,E90
VHVZB,737,73H
CCBAL,32S,320
HL7641,380,388
N263NN,EMJ,E75
N357PV,737,738
N9023N,319,319
N994AN,321,321
VHFKO,F50,F50
VHNXG,717,717
VHTQD,DH8,DH3
VHVXE,737,73H
N348AN,767,763
N4005X,319,319
VHFKK,100,100
VHVGH,320,320
VHVWY,321,321
VHXZD,737,73H
VNA887,350,359
N223NN,EMJ,E75
N669AW,32S,320
N692AA,757,757
N804AW,319,319
N900UW,321,321
N919AN,737,738
N980NN,737,738
VH567,321,321
VHTQX,DH8,DH8
VHVKG,787,788
A6ECS,777,77W
B18001,777,77W
B18918,350,359
C418,DH8,DH4
C613,737,736
CFJZS,777,77L
GSTBI,777,777
N279AY,330,332
N715UW,319,319
N771SK,CR7,CR7
N787AL,777,772
N902NN,737,738
N905JH,ERJ,ER4
P2PAW,767,763
VHVQQ,320,320
VHZNG,787,789
VKH,788,788
A6EBD,777,77W
FOJSB,320,320
N347AN,330,332
N524AE,CR7,CR7
N615QX,CR7,CR7
N703SK,CR7,CR7
N849NN,737,738
N951SW,CRJ,CRJ
B2022,777,773
N170US,321,321
N492SW,CRJ,CRJ
N661JA,ERJ,ER4
B2020,777,773
H4BUS,32S,320
N697AB,ERJ,ER4
N842AE,ERD,ERD
N9022G,319,319
N916NN,737,738
N992AU,321,321
VHOEG,747,744
B2036,777,773
BLJH,747,744
CFGDZ,787,788
N236NN,EMJ,E75
N290AY,330,332
N766US,319,319
VHNHN,100,100
B1429,777,773
B2025,777,773
BLAM,330,333
N813AW,319,319
N915AN,737,738
RPC9935,330,332
ZKOKF,777,772
ZKOKJ,777,772
B2936,330,332
CCBAB,32S,320
N116HQ,EMJ,E75
ZKNZD,787,789
B6130,330,333
C451,DH8,DH4
FOSUN,340,343
N128AN,321,321
N33502,M80,M80
N843NN,737,738
RPC8613,320,320
B18909,350,359
C602,737,73W
N441YX,EMJ,E75
N792AN,777,772
N814AW,319,319
N928AM,321,321
N955NN,737,738
N961AN,737,738
VHANR,F70,F70
VHVZQ,737,73H
CCBFW,320,320
N143AN,321,321
N647GT,76F,76Y
VHVQJ,320,320
N161AA,321,321
N942AN,737,738
A6EBC,777,77W
BLNM,330,333
C417,DH8,DH4
CCBGG,787,789
CCCOO,32S,320
N106NN,32S,32B
N426YX,EMJ,E75
N972TW,M80,M80
N156UW,321,321
N256NN,EMJ,E75
N781AN,777,772
N814AA,787,788
N909AM,321,321
N927NN,737,738
N976AS,CR7,CR7
B2002,777,773
B5939,330,330
BLAN,330,333
JA735J,777,773
N197UW,321,321
N326RP,737,7M8
N724AN,777,77W
N835AE,ERD,ERD
N910AU,321,321
VHQPI,330,333
VHVZD,737,73H
A6ECI,777,77W
A6EGY,777,77W
N733UW,319,319
N767UW,319,319
N907AA,321,321
N986AN,321,321
RPC9932,330,332
4,330,333
A6EMQ,777,773
AC805,787,788
N508AY,321,321
N786AN,777,772
N905AU,321,321
VHLQK,DH8,DH4
VHVKF,787,788
VHVKI,787,788
AC804,787,788
BKQD,777,77W
CCBAU,32S,320
N185AN,757,757
N715SK,CR7,CR7
N728AN,777,77W
N985NN,737,738
VHVQG,320,320
B5959,330,333
HL8258,330,333
N121AN,321,321
N205UW,757,757
N228NN,EMJ,E75
N392AN,767,763
N691AE,ERJ,ER4
N708UW,319,319
N718SK,CR7,CR7
N819AN,787,788
N870NN,737,738
N898NN,737,738
N901NN,737,738
VHTQG,DH8,DH8
VHVXT,737,73H
VNA893,350,359
ZKZQF,737,73H
A6EPV,777,77W
N519UW,321,321
N868NN,737,738
