"id","timestamp1","source","actiontag","event_id","event_type","event_category","event_author","eventcreated","change_id","change_source","changetimestamp","change_targetasrobject_id","change_targetasrobject_origin","change_targetasrobject_destination","change_targetasrobject_flightnumber","change_targetasrobject_carrier","scheduledstart","scheduledend","change_attributes_last_aircraft_assigned","eobt","eibt","change_attributes_last_delay_applied","change_attributes_last_delay_on_arrival_applied"
"OPER-QLK_MVT_190510T22:42__jV0v1j4","2019-05-11 06:49:48.000","gui:cpe97:actiontag:Create Flight-Leg~!~6710~!~VHTQH~!~Local__tXIfy4s","Create Flight-Leg~","OPER-QLK_MVT_190510T22:42","MVT","OPER-QLK","cre27","2019-05-10 22:42:49.000","QF_6710_CBR_SYD_19-05-12__WzhmxtM","gui:cpe97:actiontag:Create Flight-Leg~!~6710~!~VHTQH~!~Local__tXIfy4s","2019-05-11 06:49:44.000","QF_6710_CBR_SYD_19-05-12","CBR","SYD","6710","QF","2019-05-11 23:30:00.000","2019-05-12 00:25:00.000","",,,,
"OPER-QLK_MVT_190509T03:39__7klbC20","2019-05-09 07:27:34.000","gui:cpe97:actiontag:Create Flight-Leg~!~6710~!~VHSBJ~!~Local__9oYY1Qg","Create Flight-Leg~","OPER-QLK_MVT_190509T03:39","MVT","OPER-QLK","cre27","2019-05-09 03:39:01.000","QF_6710_SYD_BNE_19-05-10__qbdBR2c","gui:cpe97:actiontag:Create Flight-Leg~!~6710~!~VHSBJ~!~Local__9oYY1Qg","2019-05-09 07:26:43.000","QF_6710_SYD_BNE_19-05-10","SYD","BNE","6710","QF","2019-05-10 01:00:00.000","2019-05-10 03:00:00.000","",,,,
"MECH-QLK_AOG_VHTQS_190505T05:10__M4tMfko","2019-05-05 05:34:35.000","gui:179598:actiontag:Create Flight-Leg~!~6710~!~VHTQX~!~Local__b3CFJyg","Create Flight-Leg~","MECH-QLK_AOG_VHTQS_190505T05:10","AOG","MECH-QLK","179598","2019-05-05 05:10:31.000","QF_6710_SYD_LDH_19-05-06__8lnv_oA","gui:179598:actiontag:Create Flight-Leg~!~6710~!~VHTQX~!~Local__b3CFJyg","2019-05-05 05:34:17.000","QF_6710_SYD_LDH_19-05-06","SYD","LDH","6710","QF","2019-05-05 21:00:00.000","2019-05-05 23:05:00.000","",,,,
"MECH-QLK_MAINT_VHSBW_190508T02:09__49CQGtk","2019-05-08 02:15:06.000","gui:cre27:actiontag:Create Flight-Leg~!~6710~!~VHSBJ~!~Local__nwIfzck","Create Flight-Leg~","MECH-QLK_MAINT_VHSBW_190508T02:09","MAINT","MECH-QLK","cre27","2019-05-08 02:09:43.000","QF_6710_SYD_TMW_19-05-09__NxIbERY","gui:cre27:actiontag:Create Flight-Leg~!~6710~!~VHSBJ~!~Local__nwIfzck","2019-05-08 02:14:41.000","QF_6710_SYD_TMW_19-05-09","SYD","TMW","6710","QF","2019-05-09 04:30:00.000","2019-05-09 05:45:00.000","",,,,
"OPER-QLK_Other_190514T00:39__5zNylbo","2019-05-14 00:41:28.000","gui:cre27:actiontag:Create Flight-Leg~!~6710~!~VHSBJ~!~Local__bJF--CE","Create Flight-Leg~","OPER-QLK_Other_190514T00:39","Other","OPER-QLK","cre27","2019-05-14 00:39:09.000","QF_6710_SYD_TMW_19-05-15__wuYpUm8","gui:cre27:actiontag:Create Flight-Leg~!~6710~!~VHSBJ~!~Local__bJF--CE","2019-05-14 00:39:41.000","QF_6710_SYD_TMW_19-05-15","SYD","TMW","6710","QF","2019-05-14 21:00:00.000","2019-05-14 22:15:00.000","",,,,
"OPER-QLK_MVT_190509T03:39__em-vdnU","2019-05-09 07:27:34.000","gui:cpe97:actiontag:Create Flight-Leg~!~6711~!~VHSBG~!~Local__KQclPMA","Create Flight-Leg~","OPER-QLK_MVT_190509T03:39","MVT","OPER-QLK","cre27","2019-05-09 03:39:01.000","QF_6711_BNE_SYD_19-05-10__7L6wK74","gui:cpe97:actiontag:Create Flight-Leg~!~6711~!~VHSBG~!~Local__KQclPMA","2019-05-09 07:27:15.000","QF_6711_BNE_SYD_19-05-10","BNE","SYD","6711","QF","2019-05-10 03:45:00.000","2019-05-10 05:35:00.000","",,,,
"OPER-QLK_Other_190515T03:52__uSr33Nc","2019-05-15 03:54:54.000","gui:cre27:actiontag:Create Flight-Leg~!~6711~!~VHSBT~!~Local__e0gyBdk","Create Flight-Leg~","OPER-QLK_Other_190515T03:52","Other","OPER-QLK","cre27","2019-05-15 03:52:53.000","QF_6711_BNE_SYD_19-05-16__UtguIfk","gui:cre27:actiontag:Create Flight-Leg~!~6711~!~VHSBT~!~Local__e0gyBdk","2019-05-15 03:54:38.000","QF_6711_BNE_SYD_19-05-16","BNE","SYD","6711","QF","2019-05-16 08:15:00.000","2019-05-16 10:05:00.000","",,,,
"MECH-QLK_AOG_VHTQS_190505T05:10__SrR3gBE","2019-05-05 05:37:32.000","gui:179598:actiontag:Create Flight-Leg~!~6711~!~VHTQS~!~Local__pSPcEVs","Create Flight-Leg~","MECH-QLK_AOG_VHTQS_190505T05:10","AOG","MECH-QLK","179598","2019-05-05 05:10:31.000","QF_6711_LDH_SYD_19-05-06__U-XmC54","gui:179598:actiontag:Create Flight-Leg~!~6711~!~VHTQS~!~Local__pSPcEVs","2019-05-05 05:37:19.000","QF_6711_LDH_SYD_19-05-06","LDH","SYD","6711","QF","2019-05-06 01:00:00.000","2019-05-06 03:15:00.000","",,,,
"MECH-QLK_MAINT_VHQOB_190503T05:27__jbNlIjs","2019-05-03 07:08:10.000","gui:lka15:actiontag:Create Flight-Leg~!~6711~!~VHQOK~!~Local__6EQRLrg","Create Flight-Leg~","MECH-QLK_MAINT_VHQOB_190503T05:27","MAINT","MECH-QLK","lka15","2019-05-03 05:27:49.000","QF_6711_PQQ_SYD_19-05-03__8GPeP_A","gui:lka15:actiontag:Create Flight-Leg~!~6711~!~VHQOK~!~Local__6EQRLrg","2019-05-03 07:08:05.000","QF_6711_PQQ_SYD_19-05-03","PQQ","SYD","6711","QF","2019-05-03 10:05:00.000","2019-05-03 11:10:00.000","",,,,
"PLAN-QLK_ALL_190504T00:27__KKBCfoE","2019-05-04 02:13:03.000","gui:179598:actiontag:Create Flight-Leg~!~6711~!~VHSCE~!~Local__Xy6IDpQ","Create Flight-Leg~","PLAN-QLK_ALL_190504T00:27","ALL","PLAN-QLK","198168","2019-05-04 00:27:45.000","QF_6711_SYD_ADL_19-05-07__vv3fClw","gui:179598:actiontag:Create Flight-Leg~!~6711~!~VHSCE~!~Local__Xy6IDpQ","2019-05-04 02:11:57.000","QF_6711_SYD_ADL_19-05-07","SYD","ADL","6711","QF","2019-05-06 21:00:00.000","2019-05-06 23:55:00.000","",,,,
"MECH-QLK_AOG_VHSBG_190513T04:15__7rj6I20","2019-05-14 20:23:45.000","gui:202727:actiontag:Create Flight-Leg~!~6712~!~VHSBG~!~Local__1tVgh2o","Create Flight-Leg~","MECH-QLK_AOG_VHSBG_190513T04:15","AOG","MECH-QLK","211872","2019-05-13 04:15:05.000","QF_6712_ABX_SYD_19-05-15__v6PikM0","gui:202727:actiontag:Create Flight-Leg~!~6712~!~VHSBG~!~Local__1tVgh2o","2019-05-14 20:23:29.000","QF_6712_ABX_SYD_19-05-15","ABX","SYD","6712","QF","2019-05-15 03:20:00.000","2019-05-15 04:45:00.000","",,,,
"OPER-QLK_MVT_190502T18:55__zo_knvw","2019-05-02 21:31:26.000","gui:cpe97:actiontag:Create Flight-Leg~!~6712~!~VHQOI~!~Local__hF6nMzk","Create Flight-Leg~","OPER-QLK_MVT_190502T18:55","MVT","OPER-QLK","cpe97","2019-05-02 18:55:51.000","QF_6712_HBA_SYD_19-05-03__vnRZj_8","gui:cpe97:actiontag:Create Flight-Leg~!~6712~!~VHQOI~!~Local__hF6nMzk","2019-05-02 21:30:55.000","QF_6712_HBA_SYD_19-05-03","HBA","SYD","6712","QF","2019-05-03 07:00:00.000","2019-05-03 09:15:00.000","",,,,
"MECH-QLK_MAINT_VHSBW_190508T02:09__lindSu8","2019-05-08 02:21:42.000","gui:cre27:actiontag:Create Flight-Leg~!~6712~!~VHSBJ~!~Local__t9i9bSs","Create Flight-Leg~","MECH-QLK_MAINT_VHSBW_190508T02:09","MAINT","MECH-QLK","cre27","2019-05-08 02:09:43.000","QF_6712_SYD_TMW_19-05-09__RdCulqI","gui:cre27:actiontag:Create Flight-Leg~!~6712~!~VHSBJ~!~Local__t9i9bSs","2019-05-08 02:20:29.000","QF_6712_SYD_TMW_19-05-09","SYD","TMW","6712","QF","2019-05-09 03:15:00.000","2019-05-09 04:30:00.000","",,,,
"OPER-QLK_Other_190513T21:39__HkeO7r0","2019-05-13 21:51:10.000","gui:cre27:actiontag:Create Flight-Leg~!~6712~!~VHSBW~!~Local__NKlDxIg","Create Flight-Leg~","OPER-QLK_Other_190513T21:39","Other","OPER-QLK","cre27","2019-05-13 21:39:19.000","QF_6712_TMW_BNE_19-05-14__hN1agkM","gui:cre27:actiontag:Create Flight-Leg~!~6712~!~VHSBW~!~Local__NKlDxIg","2019-05-13 21:50:45.000","QF_6712_TMW_BNE_19-05-14","TMW","BNE","6712","QF","2019-05-14 06:00:00.000","2019-05-14 07:10:00.000","",,,,
"MECH-QLK_AOG_VHQOH_190505T20:05__fksTXUY","2019-05-06 07:00:40.000","gui:lka15:actiontag:Create Flight-Leg~!~6713~!~VHQOH~!~Local__8AAIGk0","Create Flight-Leg~","MECH-QLK_AOG_VHQOH_190505T20:05","AOG","MECH-QLK","179575","2019-05-05 20:05:17.000","QF_6713_CBR_SYD_19-05-07__Ly-TXCY","gui:lka15:actiontag:Create Flight-Leg~!~6713~!~VHQOH~!~Local__8AAIGk0","2019-05-06 07:00:32.000","QF_6713_CBR_SYD_19-05-07","CBR","SYD","6713","QF","2019-05-06 21:40:00.000","2019-05-06 22:35:00.000","",,,,
"MECH-QLK_AOG_VHTQH_190509T21:38__vrHvNVE","2019-05-09 22:04:47.000","gui:179598:actiontag:Create Flight-Leg~!~6713~!~VHTQH~!~Local__xbMrtjA","Create Flight-Leg~","MECH-QLK_AOG_VHTQH_190509T21:38","AOG","MECH-QLK","179598","2019-05-09 21:38:36.000","QF_6713_CBR_SYD_19-05-10__3mmKA2E","gui:179598:actiontag:Create Flight-Leg~!~6713~!~VHTQH~!~Local__xbMrtjA","2019-05-09 22:04:27.000","QF_6713_CBR_SYD_19-05-10","CBR","SYD","6713","QF","2019-05-10 00:30:00.000","2019-05-10 01:25:00.000","",,,,
"MECH-QLK_AOG_VHTQH_190505T09:46__qAey6f0","2019-05-05 10:28:38.000","gui:179598:actiontag:Create Flight-Leg~!~6713~!~VHTQZ~!~Local__QW-o9MI","Create Flight-Leg~","MECH-QLK_AOG_VHTQH_190505T09:46","AOG","MECH-QLK","179598","2019-05-05 09:46:33.000","QF_6713_SYD_BXG_19-05-06__dM1IudU","gui:179598:actiontag:Create Flight-Leg~!~6713~!~VHTQZ~!~Local__QW-o9MI","2019-05-05 10:28:18.000","QF_6713_SYD_BXG_19-05-06","SYD","BXG","6713","QF","2019-05-05 23:00:00.000","2019-05-06 01:00:00.000","",,,,
"MECH-QLK_MAINT_VHSBW_190508T02:09__3Jtah5I","2019-05-08 02:21:42.000","gui:cre27:actiontag:Create Flight-Leg~!~6713~!~VHSBW~!~Local__Tu6JTqI","Create Flight-Leg~","MECH-QLK_MAINT_VHSBW_190508T02:09","MAINT","MECH-QLK","cre27","2019-05-08 02:09:43.000","QF_6713_TMW_SYD_19-05-09__8GQI0z4","gui:cre27:actiontag:Create Flight-Leg~!~6713~!~VHSBW~!~Local__Tu6JTqI","2019-05-08 02:21:23.000","QF_6713_TMW_SYD_19-05-09","TMW","SYD","6713","QF","2019-05-09 05:45:00.000","2019-05-09 06:55:00.000","",,,,
