"id","change_attributes_block_ids","change_targetasrobject_id","change_targetasrobject_origin","change_targetasrobject_destination","change_targetasrobject_flightnumber","change_targetasrobject_carrier","change_targetasrobject_scheduledbase","timestamp1","source","actiontag","event_id","event_type","event_category","event_author","eventcreated","change_id","change_source","changetimestamp","scheduledstart","scheduledend","change_attributes_last_aircraft_assigned","eobt","eibt","change_attributes_last_delay_applied","change_attributes_last_delay_on_arrival_applied"
"OPER-QLK_Other_190530T04:18__MDtsojU",,"QF_6670_BNE_SYD_19-05-30","BNE","SYD","6670","QF","","2019-05-30 04:20:00.000","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHQOA~!~Local__gNnSCC0","Create Flight-Leg","OPER-QLK_Other_190530T04:18","Other","OPER-QLK","cre27","2019-05-30 04:18:08.000","QF_6670_BNE_SYD_19-05-30__veZV6bU","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHQOA~!~Local__gNnSCC0","2019-05-30 04:19:19.000","2019-05-30 10:30:00.000","2019-05-30 12:20:00.000","",,,,
"OPER-QLK_Other_190530T20:23__nKLbQZI",,"QF_6714_CBR_SYD_19-05-31","CBR","SYD","6714","QF","","2019-05-30 20:28:59.000","gui:cre27:actiontag:Create Flight-Leg~!~6714~!~VHLQK~!~Local__2pS8Zx8","Create Flight-Leg","OPER-QLK_Other_190530T20:23","Other","OPER-QLK","cre27","2019-05-30 20:23:37.000","QF_6714_CBR_SYD_19-05-31__g42HRO0","gui:cre27:actiontag:Create Flight-Leg~!~6714~!~VHLQK~!~Local__2pS8Zx8","2019-05-30 20:24:17.000","2019-05-31 00:00:00.000","2019-05-31 00:55:00.000","",,,,
"MECH_MAINT_VHEBP_190410T20:20__f7bqbrM",,"QF_6005_BNE_SYD_19-04-12","BNE","SYD","6005","QF","","2019-04-11 08:14:20.000","gui:BCO07:actiontag:Create Flight-Leg~!~6005~!~VHQPA~!~Local__-mfyUws","Create Flight-Leg","MECH_MAINT_VHEBP_190410T20:20","MAINT","MECH","kpa49","2019-04-10 20:20:41.000","QF_6005_BNE_SYD_19-04-12___wtP2AM","gui:BCO07:actiontag:Create Flight-Leg~!~6005~!~VHQPA~!~Local__-mfyUws","2019-04-11 08:00:46.000","2019-04-12 01:00:00.000","2019-04-12 02:35:00.000","",,,,
"MECH-QLK_AOG_VHVQS_190113T05:13___t14oOU",,"QF_6683_BME_PER_19-01-13","BME","PER","6683","QF","","2019-01-13 06:13:09.000","gui:197721:actiontag:Create Flight-Leg~!~6683~!~VHVQS~!~Local__J-hD6cA","Create Flight-Leg","MECH-QLK_AOG_VHVQS_190113T05:13","AOG","MECH-QLK","197721","2019-01-13 05:13:48.000","QF_6683_BME_PER_19-01-13__rE54MJE","gui:197721:actiontag:Create Flight-Leg~!~6683~!~VHVQS~!~Local__J-hD6cA","2019-01-13 06:13:03.000","2019-01-13 11:30:00.000","2019-01-13 14:00:00.000","",,,,
"MECH_MAINT_VHVXQ_190202T09:03__ZFOATVU",,"QF_6117_SYD_OOL_19-02-03","SYD","OOL","6117","QF","","2019-02-02 10:55:00.000","gui:fst11:actiontag:Create Flight-Leg~!~6117~!~VHVXQ~!~Local__tfwOHUY","Create Flight-Leg","MECH_MAINT_VHVXQ_190202T09:03","MAINT","MECH","931728","2019-02-02 09:03:49.000","QF_6117_SYD_OOL_19-02-03__YZh1bgQ","gui:fst11:actiontag:Create Flight-Leg~!~6117~!~VHVXQ~!~Local__tfwOHUY","2019-02-02 10:54:05.000","2019-02-02 19:15:00.000","2019-02-02 20:40:00.000","",,,,
"MECH-QLK_AOG_VHNHF_190301T04:35__yVIKZcg",,"QF_6682_PER_SLJ_19-03-01","PER","SLJ","6682","QF","","2019-03-01 04:35:09.000","gui:612184:actiontag:Create Flight-Leg~!~6682~!~VHNHN~!~Local__ZiQVJ5Q","Create Flight-Leg","MECH-QLK_AOG_VHNHF_190301T04:35","AOG","MECH-QLK","612184","2019-03-01 04:35:04.000","QF_6682_PER_SLJ_19-03-01__FP6gNZw","gui:612184:actiontag:Create Flight-Leg~!~6682~!~VHNHN~!~Local__ZiQVJ5Q","2019-03-01 04:33:12.000","2019-03-01 07:30:00.000","2019-03-01 09:20:00.000","",,,,
"OPER_FREIGHT_QF_7350_MEL_BNE_19-06-05_190605T13:13__q7DPbT8",,"QF_6124_SYD_BNE_19-06-06","SYD","BNE","6124","QF","","2019-06-05 17:19:44.000","gui:rdo53:actiontag:Create Flight-Leg~!~6124~!~VHVZK~!~Local__PWAWz9g","Create Flight-Leg","OPER_FREIGHT_QF_7350_MEL_BNE_19-06-05_190605T13:13","FREIGHT","OPER","dba12","2019-06-05 13:13:21.000","QF_6124_SYD_BNE_19-06-06__si40FzI","gui:rdo53:actiontag:Create Flight-Leg~!~6124~!~VHVZK~!~Local__PWAWz9g","2019-06-05 17:19:41.000","2019-06-06 01:30:00.000","2019-06-06 03:00:00.000","",,,,
"WX_5NM_SYD_190105T05:40__UCqSx00",,"QF_6127_BNE_SYD_19-01-06","BNE","SYD","6127","QF","","2019-01-05 12:52:31.000","gui:SCR11:actiontag:Create Flight-Leg~!~6127~!~VHVZJ~!~Local__bP2IQYg","Create Flight-Leg","WX_5NM_SYD_190105T05:40","5NM","WX","bco07","2019-01-05 05:40:07.000","QF_6127_BNE_SYD_19-01-06__l0Bm7Ps","gui:SCR11:actiontag:Create Flight-Leg~!~6127~!~VHVZJ~!~Local__bP2IQYg","2019-01-05 12:52:22.000","2019-01-06 01:50:00.000","2019-01-06 03:25:00.000","",,,,
"WX_5NM_SYD_190105T05:40__9mjg8qs",,"QF_6137_MEL_SYD_19-01-06","MEL","SYD","6137","QF","","2019-01-05 22:03:14.000","gui:mhi01:actiontag:Create Flight-Leg~!~6137~!~VHEBF~!~Local__sibsTI0","Create Flight-Leg","WX_5NM_SYD_190105T05:40","5NM","WX","bco07","2019-01-05 05:40:07.000","QF_6137_MEL_SYD_19-01-06__NdltW7k","gui:mhi01:actiontag:Create Flight-Leg~!~6137~!~VHEBF~!~Local__sibsTI0","2019-01-05 21:48:43.000","2019-01-06 06:00:00.000","2019-01-06 07:25:00.000","",,,,
"WX_5NM_SYD_190105T05:40__qFZU4P4",,"QF_6117_SYD_ADL_19-01-06","SYD","ADL","6117","QF","","2019-01-05 11:56:34.000","gui:SCR11:actiontag:Create Flight-Leg~!~6117~!~VHVZJ~!~Local__yc9mCQw","Create Flight-Leg","WX_5NM_SYD_190105T05:40","5NM","WX","bco07","2019-01-05 05:40:07.000","QF_6117_SYD_ADL_19-01-06__i1ZS-Jo","gui:SCR11:actiontag:Create Flight-Leg~!~6117~!~VHVZJ~!~Local__yc9mCQw","2019-01-05 11:50:34.000","2019-01-05 23:00:00.000","2019-01-06 01:10:00.000","",,,,
"MECH-QLK_AOG_VHYQV_190411T12:13__OSVm5ro",,"QF_6200_CBR_CNS_19-04-14","CBR","CNS","6200","QF","","2019-04-13 08:27:46.000","gui:197721:actiontag:Create Flight-Leg~!~6200~!~VHYQV~!~Local__EboDXto","Create Flight-Leg","MECH-QLK_AOG_VHYQV_190411T12:13","AOG","MECH-QLK","196474","2019-04-11 12:13:05.000","QF_6200_CBR_CNS_19-04-14__44oOEdY","gui:197721:actiontag:Create Flight-Leg~!~6200~!~VHYQV~!~Local__EboDXto","2019-04-13 08:26:33.000","2019-04-13 20:45:00.000","2019-04-13 23:45:00.000","",,,,
"OPER-QLK_Commercial_190413T03:05__h-7wzWA",,"QF_6201_BNE_SYD_19-04-14","BNE","SYD","6201","QF","","2019-04-13 05:05:02.000","gui:197721:actiontag:Create Flight-Leg~!~6201~!~VHYQX~!~Local__8YC0E5w","Create Flight-Leg","OPER-QLK_Commercial_190413T03:05","Commercial","OPER-QLK","197721","2019-04-13 03:05:50.000","QF_6201_BNE_SYD_19-04-14__nqJlQjA","gui:197721:actiontag:Create Flight-Leg~!~6201~!~VHYQX~!~Local__8YC0E5w","2019-04-13 05:01:20.000","2019-04-13 22:30:00.000","2019-04-14 00:05:00.000","",,,,
"PLAN-QLK_ALL_190419T21:54__klvGtT4",,"QF_6203_CNS_SYD_19-04-21","CNS","SYD","6203","QF","","2019-04-20 05:58:11.000","gui:622148:actiontag:Create Flight-Leg~!~6203~!~VHYQV~!~Local__3eXXQVA","Create Flight-Leg","PLAN-QLK_ALL_190419T21:54","ALL","PLAN-QLK","176171","2019-04-19 21:54:28.000","QF_6203_CNS_SYD_19-04-21__hM0w8YE","gui:622148:actiontag:Create Flight-Leg~!~6203~!~VHYQV~!~Local__3eXXQVA","2019-04-20 05:57:56.000","2019-04-21 00:00:00.000","2019-04-21 02:45:00.000","",,,,
"MECH-QLK_MAINT_VHLQM_190222T20:06__V6YeFIs",,"QF_6713_CBR_SYD_19-02-23","CBR","SYD","6713","QF","","2019-02-22 21:34:45.000","gui:lka15:actiontag:Create Flight-Leg~!~6713~!~VHLQF~!~Local__aLFPAJs","Create Flight-Leg","MECH-QLK_MAINT_VHLQM_190222T20:06","MAINT","MECH-QLK","lka15","2019-02-22 20:06:37.000","QF_6713_CBR_SYD_19-02-23__vf8jN8Y","gui:lka15:actiontag:Create Flight-Leg~!~6713~!~VHLQF~!~Local__aLFPAJs","2019-02-22 21:34:29.000","2019-02-23 01:15:00.000","2019-02-23 02:10:00.000","",,,,
"MECH_MAINT_VHQPC_190222T07:10__pLddc6s",,"QF_6156_MEL_SYD_19-02-23","MEL","SYD","6156","QF","","2019-02-22 07:46:24.000","gui:scr11:actiontag:Create Flight-Leg~!~6156~!~VHEBR~!~Local__sdvyg5I","Create Flight-Leg","MECH_MAINT_VHQPC_190222T07:10","MAINT","MECH","317357","2019-02-22 07:10:07.000","QF_6156_MEL_SYD_19-02-23__5Z3kVuQ","gui:scr11:actiontag:Create Flight-Leg~!~6156~!~VHEBR~!~Local__sdvyg5I","2019-02-22 07:45:59.000","2019-02-22 21:00:00.000","2019-02-22 22:25:00.000","",,,,
"PLAN-QLK_ALL_190328T12:27__wBVFRn0",,"QF_6673_CNS_BNE_19-03-29","CNS","BNE","6673","QF","","2019-03-28 16:07:20.000","gui:108658:actiontag:Create Flight-Leg~!~6673~!~VHQOP~!~Local__y4imQlc","Create Flight-Leg","PLAN-QLK_ALL_190328T12:27","ALL","PLAN-QLK","108658","2019-03-28 12:27:31.000","QF_6673_CNS_BNE_19-03-29__mZ6P6cM","gui:108658:actiontag:Create Flight-Leg~!~6673~!~VHQOP~!~Local__y4imQlc","2019-03-28 16:07:11.000","2019-03-28 23:00:00.000","2019-03-29 01:45:00.000","",,,,
"MECH-QLK_MAINT_VHQOC_190225T01:07__k9Foi2Y",,"QF_6671_ROK_BNE_19-02-25","ROK","BNE","6671","QF","","2019-02-25 02:33:11.000","gui:179575:actiontag:Create Flight-Leg~!~6671~!~VHQOC~!~Local__oAtzwj4","Create Flight-Leg","MECH-QLK_MAINT_VHQOC_190225T01:07","MAINT","MECH-QLK","lka15","2019-02-25 01:07:18.000","QF_6671_ROK_BNE_19-02-25__SZlWCr4","gui:179575:actiontag:Create Flight-Leg~!~6671~!~VHQOC~!~Local__oAtzwj4","2019-02-25 02:31:03.000","2019-02-25 08:00:00.000","2019-02-25 09:10:00.000","",,,,
"MECH_MAINT_VHVYF_190527T21:50__rzq_ofw",,"QF_6121_PER_DRW_19-05-28","PER","DRW","6121","QF","","2019-05-27 22:54:57.000","gui:319288:actiontag:Create Flight-Leg~!~6121~!~VHVXQ~!~Local__xrTGH9E","Create Flight-Leg","MECH_MAINT_VHVYF_190527T21:50","MAINT","MECH","319288","2019-05-27 21:50:29.000","QF_6121_PER_DRW_19-05-28__LUA2tjQ","gui:319288:actiontag:Create Flight-Leg~!~6121~!~VHVXQ~!~Local__xrTGH9E","2019-05-27 22:30:26.000","2019-05-28 00:10:00.000","2019-05-28 03:40:00.000","",,,,
"MECH_MAINT_VHVYL_190527T20:37__eR3afpo",,"QF_6112_CBR_MEL_19-05-28","CBR","MEL","6112","QF","","2019-05-27 21:30:44.000","gui:319288:actiontag:Create Flight-Leg~!~6112~!~VHVYL~!~Local__J6khe70","Create Flight-Leg","MECH_MAINT_VHVYL_190527T20:37","MAINT","MECH","319288","2019-05-27 20:37:25.000","QF_6112_CBR_MEL_19-05-28__aQtnUaw","gui:319288:actiontag:Create Flight-Leg~!~6112~!~VHVYL~!~Local__J6khe70","2019-05-27 21:30:35.000","2019-05-27 23:50:00.000","2019-05-28 01:00:00.000","",,,,
"MECH-QLK_AOG_VHLQJ_190527T05:09__eMxSlpU",,"QF_6712_CBR_SYD_19-05-28","CBR","SYD","6712","QF","","2019-05-27 22:18:29.000","gui:196384:actiontag:Create Flight-Leg~!~6712~!~VHLQJ~!~Local__Fl1AFvQ","Create Flight-Leg","MECH-QLK_AOG_VHLQJ_190527T05:09","AOG","MECH-QLK","196384","2019-05-27 05:09:41.000","QF_6712_CBR_SYD_19-05-28__dwUtxWw","gui:196384:actiontag:Create Flight-Leg~!~6712~!~VHLQJ~!~Local__Fl1AFvQ","2019-05-27 22:17:52.000","2019-05-28 06:00:00.000","2019-05-28 06:55:00.000","",,,,
"MECH_AOG_VHVZD_190527T19:52__rz_FXcw",,"QF_6132_ADL_MEL_19-05-28","ADL","MEL","6132","QF","","2019-05-28 00:49:26.000","gui:319288:actiontag:Create Flight-Leg~!~6132~!~VHVZD~!~Local__RVtCsxE","Create Flight-Leg","MECH_AOG_VHVZD_190527T19:52","AOG","MECH","319288","2019-05-27 19:52:05.000","QF_6132_ADL_MEL_19-05-28__FSQ-cfk","gui:319288:actiontag:Create Flight-Leg~!~6132~!~VHVZD~!~Local__RVtCsxE","2019-05-28 00:48:19.000","2019-05-28 03:30:00.000","2019-05-28 04:50:00.000","",,,,
"OPER_FA_QF_6112_DRW_PER_19-01-15_190114T06:33__v-Z1xaY",,"QF_6111_DRW_PER_19-01-14","DRW","PER","6111","QF","","2019-01-14 07:19:46.000","gui:317357:actiontag:Create Flight-Leg~!~6111~!~VHVZK~!~Local__AY3d2tQ","Create Flight-Leg","OPER_FA_QF_6112_DRW_PER_19-01-15_190114T06:33","FA","OPER","317357","2019-01-14 06:33:35.000","QF_6111_DRW_PER_19-01-14__QAN1Ng0","gui:317357:actiontag:Create Flight-Leg~!~6111~!~VHVZK~!~Local__AY3d2tQ","2019-01-14 07:18:41.000","2019-01-14 08:30:00.000","2019-01-14 12:25:00.000","",,,,
"MECH-QLK_AOG_VHNXM_190113T23:43__gJL0dts",,"QF_6683_PHE_SLJ_19-01-14","PHE","SLJ","6683","QF","","2019-01-14 00:17:48.000","gui:202726:actiontag:Create Flight-Leg~!~6683~!~VHNHK~!~Local__XaQcxtY","Create Flight-Leg","MECH-QLK_AOG_VHNXM_190113T23:43","AOG","MECH-QLK","202726","2019-01-13 23:43:47.000","QF_6683_PHE_SLJ_19-01-14__5JioYfs","gui:202726:actiontag:Create Flight-Leg~!~6683~!~VHNHK~!~Local__XaQcxtY","2019-01-14 00:01:05.000","2019-01-14 00:40:00.000","2019-01-14 01:20:00.000","",,,,
"MECH-QLK_AOG_VHNXM_190113T23:43__mfzGx7Y",,"QF_6201_SLJ_PER_19-01-14","SLJ","PER","6201","QF","","2019-01-14 01:26:29.000","gui:202726:actiontag:Create Flight-Leg~!~6201~!~VHNXM~!~Local__vi4wJbs","Create Flight-Leg","MECH-QLK_AOG_VHNXM_190113T23:43","AOG","MECH-QLK","202726","2019-01-13 23:43:47.000","QF_6201_SLJ_PER_19-01-14__UAm1MD8","gui:202726:actiontag:Create Flight-Leg~!~6201~!~VHNXM~!~Local__vi4wJbs","2019-01-14 01:26:10.000","2019-01-14 06:00:00.000","2019-01-14 07:50:00.000","",,,,
"OPER_FA_QF_6112_DRW_PER_19-01-15_190114T06:33__BgBnzAo",,"QF_6112_DRW_PER_19-01-15","DRW","PER","6112","QF","","2019-01-14 06:33:40.000","gui:317357:actiontag:Create Flight-Leg~!~6112~!~VHVZK~!~Local__i1BCXIo","Create Flight-Leg","OPER_FA_QF_6112_DRW_PER_19-01-15_190114T06:33","FA","OPER","317357","2019-01-14 06:33:35.000","QF_6112_DRW_PER_19-01-15__Y9lvsr8","gui:317357:actiontag:Create Flight-Leg~!~6112~!~VHVZK~!~Local__i1BCXIo","2019-01-14 06:32:36.000","2019-01-14 17:30:00.000","2019-01-14 21:25:00.000","",,,,
"MECH-QLK_AOG_VHYQV_190428T06:35__EOh8Nuk",,"QF_6201_CNS_BNE_19-04-29","CNS","BNE","6201","QF","","2019-04-28 07:57:55.000","gui:202726:actiontag:Create Flight-Leg~!~6201~!~VHYQT~!~Local__M5UDjkY","Create Flight-Leg","MECH-QLK_AOG_VHYQV_190428T06:35","AOG","MECH-QLK","202726","2019-04-28 06:35:55.000","QF_6201_CNS_BNE_19-04-29__iFQsqlI","gui:202726:actiontag:Create Flight-Leg~!~6201~!~VHYQT~!~Local__M5UDjkY","2019-04-28 07:44:51.000","2019-04-28 21:00:00.000","2019-04-28 23:10:00.000","",,,,
"MECH_MAINT_VHVZZ_190429T00:50__O5xb240",,"QF_6111_CBR_MEL_19-04-29","CBR","MEL","6111","QF","","2019-04-29 00:50:34.000","gui:319288:actiontag:Create Flight-Leg~!~6111~!~VHVZZ~!~Local__Felg5J8","Create Flight-Leg","MECH_MAINT_VHVZZ_190429T00:50","MAINT","MECH","319288","2019-04-29 00:50:33.000","QF_6111_CBR_MEL_19-04-29__eRMUubc","gui:319288:actiontag:Create Flight-Leg~!~6111~!~VHVZZ~!~Local__Felg5J8","2019-04-29 00:48:47.000","2019-04-29 03:35:00.000","2019-04-29 04:45:00.000","",,,,
"MECH-QLK_AOG_VHNXQ_190427T23:00__tOqVPvc",,"QF_6202_CBR_BNE_19-04-30","CBR","BNE","6202","QF","","2019-04-29 06:30:51.000","gui:197721:actiontag:Create Flight-Leg~!~6202~!~VHYQV~!~Local__GteDWbc","Create Flight-Leg","MECH-QLK_AOG_VHNXQ_190427T23:00","AOG","MECH-QLK","202726","2019-04-27 23:00:22.000","QF_6202_CBR_BNE_19-04-30__KP0Nf-E","gui:197721:actiontag:Create Flight-Leg~!~6202~!~VHYQV~!~Local__GteDWbc","2019-04-29 06:30:42.000","2019-04-29 22:00:00.000","2019-04-29 23:45:00.000","",,,,
"MECH-QLK_AOG_VHNHN_190228T08:49__lOx9y7g",,"QF_6683_CKW_PER_19-02-28","CKW","PER","6683","QF","","2019-02-28 10:23:59.000","gui:612184:actiontag:Create Flight-Leg~!~6683~!~VHNHN~!~Local__Py-tOZQ","Create Flight-Leg","MECH-QLK_AOG_VHNHN_190228T08:49","AOG","MECH-QLK","612184","2019-02-28 08:49:13.000","QF_6683_CKW_PER_19-02-28__S83sm80","gui:612184:actiontag:Create Flight-Leg~!~6683~!~VHNHN~!~Local__Py-tOZQ","2019-02-28 10:23:23.000","2019-02-28 13:15:00.000","2019-02-28 15:05:00.000","",,,,
"MECH-QLK_MAINT_VHLQJ_190426T06:23__dtxDsYY",,"QF_6713_SYD_CBR_19-04-27","SYD","CBR","6713","QF","","2019-04-26 06:35:59.000","gui:cpe97:actiontag:Create Flight-Leg~!~6713~!~VHLQJ~!~Local__lJwtfjQ","Create Flight-Leg","MECH-QLK_MAINT_VHLQJ_190426T06:23","MAINT","MECH-QLK","cpe97","2019-04-26 06:23:46.000","QF_6713_SYD_CBR_19-04-27__J8qdfp0","gui:cpe97:actiontag:Create Flight-Leg~!~6713~!~VHLQJ~!~Local__lJwtfjQ","2019-04-26 06:35:52.000","2019-04-27 02:45:00.000","2019-04-27 03:40:00.000","",,,,
"MECH-QLK_AOG_VHLQK_190426T04:51__G7Fy6_g",,"QF_6711_SYD_CBR_19-04-26","SYD","CBR","6711","QF","","2019-04-26 04:56:46.000","gui:cpe97:actiontag:Create Flight-Leg~!~6711~!~VHLQK~!~Local__9g3GRN8","Create Flight-Leg","MECH-QLK_AOG_VHLQK_190426T04:51","AOG","MECH-QLK","cpe97","2019-04-26 04:51:08.000","QF_6711_SYD_CBR_19-04-26__p_ePN0w","gui:cpe97:actiontag:Create Flight-Leg~!~6711~!~VHLQK~!~Local__9g3GRN8","2019-04-26 04:56:40.000","2019-04-26 07:00:00.000","2019-04-26 07:55:00.000","",,,,
"MECH_MAINT_VHVXJ_190428T05:19__07HE3FM",,"QF_6117_SYD_BNE_19-04-28","SYD","BNE","6117","QF","","2019-04-28 05:22:34.000","gui:319288:actiontag:Create Flight-Leg~!~6117~!~VHVXJ~!~Local__DWSCP98","Create Flight-Leg","MECH_MAINT_VHVXJ_190428T05:19","MAINT","MECH","319288","2019-04-28 05:19:38.000","QF_6117_SYD_BNE_19-04-28__0lgNyEw","gui:319288:actiontag:Create Flight-Leg~!~6117~!~VHVXJ~!~Local__DWSCP98","2019-04-28 05:22:15.000","2019-04-28 06:30:00.000","2019-04-28 08:00:00.000","",,,,
"MECH-QLK_AOG_VHNQE_190429T10:48__LMGO5YM",,"QF_6681_PBO_PER_19-04-29","PBO","PER","6681","QF","","2019-04-29 11:40:55.000","gui:197721:actiontag:Create Flight-Leg~!~6681~!~VHNQE~!~Local__p_UCIf4","Create Flight-Leg","MECH-QLK_AOG_VHNQE_190429T10:48","AOG","MECH-QLK","197721","2019-04-29 10:48:57.000","QF_6681_PBO_PER_19-04-29__x9yl-14","gui:197721:actiontag:Create Flight-Leg~!~6681~!~VHNQE~!~Local__p_UCIf4","2019-04-29 11:40:50.000","2019-04-29 13:30:00.000","2019-04-29 15:10:00.000","",,,,
"MECH-QLK_MAINT_VHNXJ_190228T03:21__plfLoKQ",,"QF_6201_BNE_SYD_19-02-28","BNE","SYD","6201","QF","","2019-02-28 06:18:29.000","gui:612184:actiontag:Create Flight-Leg~!~6201~!~VHNXR~!~Local__TXfBU00","Create Flight-Leg","MECH-QLK_MAINT_VHNXJ_190228T03:21","MAINT","MECH-QLK","196474","2019-02-28 03:21:11.000","QF_6201_BNE_SYD_19-02-28__f86JISU","gui:612184:actiontag:Create Flight-Leg~!~6201~!~VHNXR~!~Local__TXfBU00","2019-02-28 06:18:16.000","2019-02-28 09:05:00.000","2019-02-28 10:40:00.000","",,,,
"MECH-QLK_AOG_VHNHN_190228T08:49__fJko1XA",,"QF_6682_PER_CKW_19-02-28","PER","CKW","6682","QF","","2019-02-28 10:11:58.000","gui:612184:actiontag:Create Flight-Leg~!~6682~!~VHNHZ~!~Local__HYg2Y8I","Create Flight-Leg","MECH-QLK_AOG_VHNHN_190228T08:49","AOG","MECH-QLK","612184","2019-02-28 08:49:13.000","QF_6682_PER_CKW_19-02-28__V9RAIO8","gui:612184:actiontag:Create Flight-Leg~!~6682~!~VHNHZ~!~Local__HYg2Y8I","2019-02-28 10:08:53.000","2019-02-28 10:35:00.000","2019-02-28 12:25:00.000","",,,,
"PLAN-QLK_ALL_190409T20:12__M8iha2Y",,"QF_6683_XSP_PHE_19-04-17","XSP","PHE","6683","QF","","2019-04-10 01:04:35.000","gui:202726:actiontag:Create Flight-Leg~!~6683~!~VHNHF~!~Local__8F35XHg","Create Flight-Leg","PLAN-QLK_ALL_190409T20:12","ALL","PLAN-QLK","176171","2019-04-09 20:12:11.000","QF_6683_XSP_PHE_19-04-17__Yu4Dvto","gui:202726:actiontag:Create Flight-Leg~!~6683~!~VHNHF~!~Local__8F35XHg","2019-04-10 01:03:30.000","2019-04-17 00:00:00.000","2019-04-17 04:20:00.000","",,,,
"PLAN-QLK_ALL_190409T20:12__ogJ1m-Y",,"QF_6684_PHE_PER_19-04-17","PHE","PER","6684","QF","","2019-04-10 01:04:35.000","gui:202726:actiontag:Create Flight-Leg~!~6684~!~VHNHF~!~Local__GHjwSdM","Create Flight-Leg","PLAN-QLK_ALL_190409T20:12","ALL","PLAN-QLK","176171","2019-04-09 20:12:11.000","QF_6684_PHE_PER_19-04-17__a0RMP3k","gui:202726:actiontag:Create Flight-Leg~!~6684~!~VHNHF~!~Local__GHjwSdM","2019-04-10 01:04:10.000","2019-04-17 05:20:00.000","2019-04-17 07:30:00.000","",,,,
"PLAN-QLK_ALL_190409T20:12__fhhlCW4",,"QF_6680_XSP_XSP_19-04-16","XSP","XSP","6680","QF","","2019-04-10 01:04:35.000","gui:202726:actiontag:Create Flight-Leg~!~6680~!~VHNHF~!~Local__ndK6SpY","Create Flight-Leg","PLAN-QLK_ALL_190409T20:12","ALL","PLAN-QLK","176171","2019-04-09 20:12:11.000","QF_6680_XSP_XSP_19-04-16__7bWisdM","gui:202726:actiontag:Create Flight-Leg~!~6680~!~VHNHF~!~Local__ndK6SpY","2019-04-10 01:00:58.000","2019-04-16 02:00:00.000","2019-04-16 04:00:00.000","",,,,
"MECH_AOG_VHZNH_190118T20:30___w2fRCE",,"QF_6116_MEL_BNE_19-01-19","MEL","BNE","6116","QF","","2019-01-18 20:30:46.000","gui:156475:actiontag:Create Flight-Leg~!~6116~!~VHZND~!~Local__blc7rXI","Create Flight-Leg","MECH_AOG_VHZNH_190118T20:30","AOG","MECH","156475","2019-01-18 20:30:31.000","QF_6116_MEL_BNE_19-01-19__98FYpco","gui:156475:actiontag:Create Flight-Leg~!~6116~!~VHZND~!~Local__blc7rXI","2019-01-18 20:21:37.000","2019-01-18 22:30:00.000","2019-01-19 00:40:00.000","",,,,
"MECH_AOG_VHEBD_190520T03:24__-laGhEE",,"QF_6112_SYD_MEL_19-05-20","SYD","MEL","6112","QF","","2019-05-20 03:42:11.000","gui:317357:actiontag:Create Flight-Leg~!~6112~!~VHEBG~!~Local__8W2ehPk","Create Flight-Leg","MECH_AOG_VHEBD_190520T03:24","AOG","MECH","317357","2019-05-20 03:24:14.000","QF_6112_SYD_MEL_19-05-20__l6EcR7I","gui:317357:actiontag:Create Flight-Leg~!~6112~!~VHEBG~!~Local__8W2ehPk","2019-05-20 03:41:53.000","2019-05-20 09:40:00.000","2019-05-20 11:15:00.000","",,,,
"OPER-QLK_Other_190523T21:54__RdZR-sk",,"QF_6670_TSV_CNS_19-05-25","TSV","CNS","6670","QF","","2019-05-23 22:00:06.000","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHLQB~!~Local__DfdblVw","Create Flight-Leg","OPER-QLK_Other_190523T21:54","Other","OPER-QLK","cre27","2019-05-23 21:54:07.000","QF_6670_TSV_CNS_19-05-25__-AnQv8Q","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHLQB~!~Local__DfdblVw","2019-05-23 21:57:15.000","2019-05-25 06:20:00.000","2019-05-25 07:10:00.000","",,,,
"MECH-QLK_MAINT_VHNXH_190328T06:16__rMFCYno",,"QF_6200_CNS_CNS_19-03-29","CNS","CNS","6200","QF","","2019-03-28 06:16:34.000","gui:202726:actiontag:Create Flight-Leg~!~6200~!~VHNXH~!~Local__ATRuUok","Create Flight-Leg","MECH-QLK_MAINT_VHNXH_190328T06:16","MAINT","MECH-QLK","202726","2019-03-28 06:16:26.000","QF_6200_CNS_CNS_19-03-29__4poLQSs","gui:202726:actiontag:Create Flight-Leg~!~6200~!~VHNXH~!~Local__ATRuUok","2019-03-28 06:11:39.000","2019-03-29 05:00:00.000","2019-03-29 07:00:00.000","",,,,
"OPER-QLK_MVT_190327T03:43__9lSl3BI",,"QF_6671_GLT_BNE_19-03-29","GLT","BNE","6671","QF","","2019-03-28 10:41:37.000","gui:cpe97:actiontag:Create Flight-Leg~!~6671~!~VHQOF~!~Local__ARIm9js","Create Flight-Leg","OPER-QLK_MVT_190327T03:43","MVT","OPER-QLK","cpe97","2019-03-27 03:43:46.000","QF_6671_GLT_BNE_19-03-29__exYq7TY","gui:cpe97:actiontag:Create Flight-Leg~!~6671~!~VHQOF~!~Local__ARIm9js","2019-03-28 10:41:33.000","2019-03-29 03:00:00.000","2019-03-29 04:10:00.000","",,,,
