"id","change_attributes_block_ids","change_targetasrobject_id","change_targetasrobject_origin","change_targetasrobject_destination","change_targetasrobject_flightnumber","change_targetasrobject_carrier","change_targetasrobject_scheduledbase","timestamp1","source","actiontag","event_id","event_type","event_category","event_author","eventcreated","change_id","change_source","changetimestamp","scheduledstart","scheduledend","change_attributes_last_aircraft_assigned","eobt","eibt","change_attributes_last_delay_applied","change_attributes_last_delay_on_arrival_applied"
"WX_Other_MEL_190404T21:58__6xrwDS4",,"QF_6116_SYD_MEL_19-04-06","SYD","MEL","6116","QF","","2019-04-05 07:16:52.000","gui:317357:actiontag:Create Flight-Leg~!~6116~!~VHVXN~!~Local__zgiu__o","Create Flight-Leg","WX_Other_MEL_190404T21:58","Other","WX","bco07","2019-04-04 21:58:50.000","QF_6116_SYD_MEL_19-04-06__H6m4dFo","gui:317357:actiontag:Create Flight-Leg~!~6116~!~VHVXN~!~Local__zgiu__o","2019-04-05 07:15:52.000","2019-04-05 23:30:00.000","2019-04-06 01:05:00.000","",,,,
"OPER-QLK_MVT_190202T22:36__4b_T2i4",,"QF_6671_CNS_TSV_19-02-03_1","CNS","TSV","6671","QF","","2019-02-03 07:59:48.000","gui:202727:actiontag:GroundReturn Flight-Leg~!~6671~!~CNS~!~Local__Zho3trk","GroundReturn Flight-Leg","OPER-QLK_MVT_190202T22:36","MVT","OPER-QLK","200018","2019-02-02 22:36:43.000","QF_6671_CNS_TSV_19-02-03__36tXVQE","gui:202727:actiontag:GroundReturn Flight-Leg~!~6671~!~CNS~!~Local__Zho3trk","2019-02-03 07:59:43.000","2019-02-03 07:30:00.000","2019-02-03 08:25:00.000","VHQOC","2019-02-03 07:30:00.000","2019-02-03 08:17:00.000",,
"MECH_MAINT_VHEBB_190203T15:49__1OlU8NU",,"QF_6111_MEL_BNE_19-02-04","MEL","BNE","6111","QF","","2019-02-03 23:54:48.000","gui:din05:actiontag:Create Flight-Leg~!~6111~!~VHEBB~!~Local__p91Am04","Create Flight-Leg","MECH_MAINT_VHEBB_190203T15:49","MAINT","MECH","fst11","2019-02-03 15:49:22.000","QF_6111_MEL_BNE_19-02-04__jgTXG0c","gui:din05:actiontag:Create Flight-Leg~!~6111~!~VHEBB~!~Local__p91Am04","2019-02-03 23:53:38.000","2019-02-04 05:30:00.000","2019-02-04 07:35:00.000","",,,,
"OPER_PORT_NRT_190126T12:36__B4p7WWQ",,"QF_6007_MEL_SYD_19-01-27","MEL","SYD","6007","QF","","2019-01-26 14:52:14.000","gui:fst11:actiontag:Create Flight-Leg~!~6007~!~VHQPG~!~Local__vTw5sMU","Create Flight-Leg","OPER_PORT_NRT_190126T12:36","PORT","OPER","fst11","2019-01-26 12:36:33.000","QF_6007_MEL_SYD_19-01-27__CcUGCAM","gui:fst11:actiontag:Create Flight-Leg~!~6007~!~VHQPG~!~Local__vTw5sMU","2019-01-26 14:50:59.000","2019-01-27 01:20:00.000","2019-01-27 02:45:00.000","",,,,
"OPER-QLK_MVT_190210T02:47__knmeOJA",,"QF_6711_ARM_SYD_19-02-11","ARM","SYD","6711","QF","","2019-02-11 02:17:12.000","gui:cpe97:actiontag:Create Flight-Leg~!~6711~!~VHTQX~!~Local__5grFjvk","Create Flight-Leg","OPER-QLK_MVT_190210T02:47","MVT","OPER-QLK","187514","2019-02-10 02:47:21.000","QF_6711_ARM_SYD_19-02-11__opGwE8I","gui:cpe97:actiontag:Create Flight-Leg~!~6711~!~VHTQX~!~Local__5grFjvk","2019-02-11 02:17:03.000","2019-02-11 07:00:00.000","2019-02-11 08:20:00.000","",,,,
"MECH_MAINT_VHZNG_190213T00:04__LTT3Kk8",,"QF_6007_MEL_SYD_19-02-17","MEL","SYD","6007","QF","","2019-02-13 00:04:06.000","gui:bco07:actiontag:Create Flight-Leg~!~6007~!~VHOEG~!~Local__ixcMrPc","Create Flight-Leg","MECH_MAINT_VHZNG_190213T00:04","MAINT","MECH","bco07","2019-02-13 00:04:02.000","QF_6007_MEL_SYD_19-02-17__tDDzrPk","gui:bco07:actiontag:Create Flight-Leg~!~6007~!~VHOEG~!~Local__ixcMrPc","2019-02-12 23:59:30.000","2019-02-16 22:30:00.000","2019-02-16 23:55:00.000","",,,,
"OPER-QLK_MVT_190211T21:08__b7Vkuk4",,"QF_6671_BNE_SYD_19-02-12","BNE","SYD","6671","QF","","2019-02-12 00:01:31.000","gui:cpe97:actiontag:Create Flight-Leg~!~6671~!~VHLQF~!~Local__oJMjq1w","Create Flight-Leg","OPER-QLK_MVT_190211T21:08","MVT","OPER-QLK","cpe97","2019-02-11 21:08:18.000","QF_6671_BNE_SYD_19-02-12__PxArLO4","gui:cpe97:actiontag:Create Flight-Leg~!~6671~!~VHLQF~!~Local__oJMjq1w","2019-02-12 00:00:18.000","2019-02-12 04:35:00.000","2019-02-12 06:25:00.000","",,,,
"MECH-QLK_AOG_VHTQX_190211T02:40__fCcyyTs",,"QF_6711_ARM_SYD_19-02-12","ARM","SYD","6711","QF","","2019-02-11 08:25:45.000","gui:196384:actiontag:Create Flight-Leg~!~6711~!~VHTQX~!~Local__ry1luTw","Create Flight-Leg","MECH-QLK_AOG_VHTQX_190211T02:40","AOG","MECH-QLK","cpe97","2019-02-11 02:40:52.000","QF_6711_ARM_SYD_19-02-12__Ro_wZjo","gui:196384:actiontag:Create Flight-Leg~!~6711~!~VHTQX~!~Local__ry1luTw","2019-02-11 08:25:04.000","2019-02-11 19:30:00.000","2019-02-11 20:50:00.000","",,,,
"OPER_FA_QF_642_PER_SYD_19-01-27_190126T13:11__d7WfrnQ",,"QF_6001_SYD_MEL_19-01-28","SYD","MEL","6001","QF","","2019-01-26 17:39:16.000","gui:fst11:actiontag:Create Flight-Leg~!~6001~!~VHEBS~!~Local__yLSHttc","Create Flight-Leg","OPER_FA_QF_642_PER_SYD_19-01-27_190126T13:11","FA","OPER","fst11","2019-01-26 13:11:44.000","QF_6001_SYD_MEL_19-01-28__WGS2PRs","gui:fst11:actiontag:Create Flight-Leg~!~6001~!~VHEBS~!~Local__yLSHttc","2019-01-26 17:38:06.000","2019-01-27 20:45:00.000","2019-01-27 22:20:00.000","",,,,
"OPER-QLK_FA_QF_2130_MEL_CBR_19-02-23_190223T00:01__YW1guLI",,"QF_6715_MEL_SYD_19-02-23","MEL","SYD","6715","QF","","2019-02-23 00:03:48.000","gui:lka15:actiontag:Create Flight-Leg~!~6715~!~VHQOY~!~Local__65FSBz0","Create Flight-Leg","OPER-QLK_FA_QF_2130_MEL_CBR_19-02-23_190223T00:01","FA","OPER-QLK","lka15","2019-02-23 00:01:57.000","QF_6715_MEL_SYD_19-02-23__JmClrEo","gui:lka15:actiontag:Create Flight-Leg~!~6715~!~VHQOY~!~Local__65FSBz0","2019-02-23 00:03:42.000","2019-02-23 01:20:00.000","2019-02-23 03:00:00.000","",,,,
"MECH-QLK_MAINT_VHSBW_190222T10:20__Hfem0x8",,"QF_6711_ADL_SYD_19-02-23","ADL","SYD","6711","QF","","2019-02-22 10:39:37.000","gui:cre27:actiontag:Create Flight-Leg~!~6711~!~VHSBW~!~Local__rM-3ryY","Create Flight-Leg","MECH-QLK_MAINT_VHSBW_190222T10:20","MAINT","MECH-QLK","cre27","2019-02-22 10:20:33.000","QF_6711_ADL_SYD_19-02-23__1CPn34o","gui:cre27:actiontag:Create Flight-Leg~!~6711~!~VHSBW~!~Local__rM-3ryY","2019-02-22 10:39:21.000","2019-02-23 06:25:00.000","2019-02-23 09:20:00.000","",,,,
"MECH_AOG_VHQOW_190116T16:48__i42WVUE",,"QF_6670_SYD_BNE_19-01-17","SYD","BNE","6670","QF","","2019-01-17 02:06:34.000","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHLQF~!~Local__QQxxQzU","Create Flight-Leg","MECH_AOG_VHQOW_190116T16:48","AOG","MECH","202525","2019-01-16 16:48:38.000","QF_6670_SYD_BNE_19-01-17__LNxKyOQ","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHLQF~!~Local__QQxxQzU","2019-01-17 02:06:06.000","2019-01-17 05:15:00.000","2019-01-17 07:00:00.000","",,,,
